colorfulness,sharpness,total_clip,saturation,noise,contrast,color_temp,ranking
33.1769,8.2369,32.2170,28.2189,0.0927,87.2578,6387.7985,0.0048
51.2094,9.6181,10.7512,88.5619,0.5455,81.4942,4267.5597,0.0038
114.1525,4.3816,4.1192,227.8867,0.2267,27.4922,2050.7182,0.0027
28.6567,18.2618,3.1815,61.0467,4.3795,61.4271,8684.3073,0.0057
25.2311,2.9230,4.8835,86.0191,0.0392,80.1734,5702.2836,0.0153
33.5899,8.6544,1.0712,112.2718,0.6177,67.1375,4860.7683,0.0174
76.4792,4.5431,1.3621,137.1176,0.3398,62.8407,3543.4217,0.0137
66.3847,5.5643,26.3647,72.1048,0.3684,86.9230,5624.6847,0.0091
40.6908,4.9619,1.5968,116.0511,0.6503,41.0977,3388.0135,0.0176
89.4561,2.8417,2.1255,64.5466,0.0000,87.4466,4258.5209,0.0077
40.8099,12.0188,45.2464,33.8477,0.2140,80.1801,9576.5641,0.0063
27.4332,4.5519,2.2398,37.5226,0.3910,53.7357,5458.3969,0.0099
62.1843,5.8831,1.8793,161.7748,0.0596,59.3781,687.5030,0.0142
52.2457,10.2219,35.3199,51.8635,0.4573,84.4859,5036.6841,0.0082
82.9494,5.9117,1.6462,92.6503,0.7165,55.0733,4832.5736,0.0190
60.8632,7.8062,1.1766,151.8171,0.5334,50.1543,1979.6410,0.0234
94.3425,3.1192,1.1063,90.7456,0.2675,70.6713,7483.4717,0.0053
42.1907,3.3344,1.4641,100.5237,0.0000,35.8813,10925.4061,0.0136
19.8442,6.6539,1.1617,24.2250,0.3375,63.2766,6416.5048,0.0098
37.0361,4.4805,1.1039,83.9232,0.4776,61.7976,4146.9107,0.0151
47.7117,7.2308,1.2042,128.4373,0.8356,62.2200,2341.3551,0.0198
54.6939,2.3284,1.4875,88.8574,0.1131,34.1126,10513.0329,0.0133
67.5548,11.9329,1.7842,107.5636,0.7451,66.8355,4918.3971,0.0125
19.2139,2.6405,3.0567,52.4206,0.3707,37.5757,10490.9795,0.0041
47.3741,6.3597,2.0733,116.4629,1.4059,51.7821,3219.7706,0.0195
51.5114,9.2471,5.1750,66.5984,0.4859,82.8252,5276.2293,0.0101
76.0432,1.7040,2.8597,154.3538,0.2201,27.1076,879.9550,0.0070
13.5695,2.4930,1.0920,26.7474,0.0678,43.3164,6937.3745,0.0069
20.1581,3.2253,1.1039,36.1481,0.0761,76.4070,7037.5216,0.0084
39.2851,9.7244,2.2940,59.4778,0.7451,90.0789,8571.3786,0.0380
47.2619,4.9475,2.1407,70.0506,0.3624,84.8842,6392.6257,0.0196
93.2596,1.7432,2.4746,150.3696,0.1522,71.2154,8148.8264,0.0203
36.8806,9.4401,1.0011,77.9836,1.3137,66.2716,3674.2196,0.0227
70.9253,8.5282,41.8937,69.8239,0.2532,72.1244,3601.7566,0.0105
50.9300,5.8105,1.1110,157.9907,0.7926,40.1027,2517.1317,0.0118
52.0402,5.2406,1.4085,67.9585,0.3910,72.1106,6197.7713,0.0192
66.2011,4.9857,1.1975,104.7043,0.3993,64.1779,1088.7282,0.0233
64.3718,14.6325,1.5592,101.9293,2.6132,63.6615,5628.2078,0.0223
19.9319,10.3591,1.6646,40.5035,0.7512,74.9531,7822.5772,0.0079
36.3657,5.3618,1.0135,45.3353,0.3828,41.6224,5718.2817,0.0116
23.5794,10.4560,1.2994,71.1441,1.3932,65.8165,5069.7138,0.0149
39.2495,7.0594,1.0561,62.1393,0.8649,64.2131,6088.9251,0.0268
36.4295,14.3443,9.3932,62.0074,0.8830,60.4285,6111.2942,0.0064
52.5444,7.5485,1.9679,119.7349,0.6315,62.5373,5376.9768,0.0117
40.0513,7.6446,2.4047,140.5099,0.6690,67.4204,3269.4055,0.0121
39.6924,5.8929,1.8481,99.6923,0.7225,72.6848,4715.3130,0.0219
69.8920,4.3888,2.3158,57.9629,0.5146,37.6416,6495.0983,0.0139
22.7868,1.6603,2.6576,17.4960,0.0000,51.7921,6419.2242,0.0155
58.7382,8.6103,4.6275,74.1575,1.3651,70.1916,5468.8146,0.0166
40.2297,11.0733,1.0771,76.9150,1.7616,59.7114,5187.3280,0.0215
91.1319,6.9111,1.9329,166.7981,0.8913,79.0129,3130.2995,0.0145
34.7961,16.2029,3.6611,51.8478,3.4207,65.4799,6149.3926,0.0148
34.5470,6.6886,7.2624,79.1674,0.4980,79.5340,7847.5290,0.0256
32.2149,5.0673,1.2269,61.8630,0.4694,70.6707,3927.6937,0.0239
35.8989,10.1053,1.3710,73.8517,0.9569,56.0062,4587.0254,0.0230
45.4819,8.7080,1.1396,73.3160,0.9718,63.8543,5844.8509,0.0126
54.5193,9.8899,2.4040,65.3674,0.7191,73.6594,3788.5149,0.0149
34.9519,3.1557,1.4227,22.1705,0.0000,36.9209,6335.4108,0.0217
46.6531,12.3095,5.7554,85.0741,1.2658,69.4680,8062.0933,0.0104
31.8442,4.1720,1.0435,45.7987,0.3602,39.3316,5415.1391,0.0156
100.4115,4.2820,2.9994,153.0124,0.3541,50.8689,794.7100,0.0074
32.8412,2.7984,5.7428,92.0490,0.3044,76.2252,5191.1880,0.0172
23.7694,9.5801,2.6515,97.2142,1.6431,66.4729,3642.7064,0.0148
49.7335,8.0068,1.0495,104.6601,1.0695,53.6264,6732.1954,0.0125
64.9570,18.2444,2.3178,100.1506,1.8317,68.4895,5954.3034,0.0208
56.7670,10.7568,3.4069,97.0872,1.2349,79.6676,5625.3354,0.0126
22.3641,5.8407,1.0778,46.3637,0.2532,52.0934,5682.4977,0.0039
21.0787,8.0485,28.2683,31.8535,0.8951,75.2721,5241.0591,0.0135
38.2964,4.1983,1.6046,46.6041,0.2780,39.9798,5118.6685,0.0254
30.5864,6.9181,10.8094,50.4569,0.6585,60.5232,4790.2496,0.0176
35.4331,5.6662,1.0282,115.6144,0.7165,57.1602,3790.8473,0.0170
49.1611,5.7570,8.9782,104.1783,0.5102,102.4151,6058.5259,0.0142
48.3977,5.8893,5.0360,81.6181,0.7948,70.1916,8877.4595,0.0086
22.1358,4.7820,1.2215,25.3980,0.0000,60.2798,6349.3557,0.0095
47.2932,2.9050,1.0388,64.5918,0.1853,73.5487,9009.1859,0.0094
31.5009,4.0937,1.1455,48.1439,0.3370,68.0426,6160.3905,0.0160
30.2224,3.6945,1.7300,53.0948,0.2840,71.5327,8499.9684,0.0277
77.1385,3.6967,1.3261,81.0019,0.4219,36.9998,6355.7658,0.0146
30.4675,8.0349,1.1716,87.5544,0.9305,75.4544,4578.5216,0.0258
12.5865,5.6579,1.0022,24.3891,0.4363,56.2797,6360.8362,0.0150
30.0850,4.3769,14.3898,77.1442,0.4197,78.8166,3726.4273,0.0335
91.4718,7.3610,4.1016,136.6928,0.9922,54.7181,2823.2928,0.0184
68.9643,4.9439,1.0991,139.2054,0.5620,53.5007,8131.3363,0.0203
34.4711,4.9628,1.1774,39.6357,0.0000,34.2533,5843.2653,0.0164
13.3632,8.0048,1.0506,49.3397,0.2758,78.7203,7980.0800,0.0094
20.0598,9.5008,1.1039,61.2552,0.5372,90.5375,8498.0757,0.0070
17.4920,9.7590,1.0353,86.3018,0.6073,86.3090,6030.0762,0.0069
49.3518,9.2199,1.0409,112.9888,0.8875,54.2385,3063.5597,0.0182
82.4337,6.4943,30.7987,79.8351,0.2471,87.7083,3676.5280,0.0067
34.4806,3.6520,1.0067,104.0344,0.3828,53.1948,3991.3724,0.0160
43.4572,3.6075,1.0020,64.0903,0.4468,53.6111,5592.7073,0.0172
29.1221,8.3094,1.6316,54.8469,0.3910,89.2896,6461.3469,0.0156
99.5691,2.2941,2.6462,112.0428,0.1131,79.3342,8341.2741,0.0095
67.2351,12.4038,2.4219,96.4137,1.4180,56.8274,9051.4715,0.0112
25.6546,12.1561,1.3025,65.9373,1.3916,63.6138,5400.1254,0.0181
64.2793,6.9335,1.4665,140.8466,0.5990,66.3902,2486.6486,0.0114
28.4363,14.9735,1.0392,51.7492,2.2756,60.4434,5016.2476,0.0222
18.8033,9.7540,1.0026,37.8310,1.3318,51.9697,5448.4645,0.0145
17.6542,5.8555,20.1025,50.8070,0.2532,95.0326,5239.8695,0.0159
